source1_id,candidate_id,candidate_source,match_probability,source1_name,candidate_name,source1_address,candidate_address,country,pattern
S1-543291404,S2-728000855,source2,0.0,Southern Technologies Private Limited,Southern ടെക്നോളജീസ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"Excelsior Building Thengana, Perumpanachy P.O., Changanacherry, Kottayam, Kerala",,India,Candidate Address Missing
S1-176567267,S3-12316490,source3,0.0002,Gsj Foundation,Gsj Founsdatlion #5898,"Plot No A1, Jaipur, Rajasthan, A2, A3, A4, Kh No. 52, 53, Mahapura Urf Kukar Kheda Sikar Road",,India,Candidate Address Missing
S1-629464448,S3-323578664,source3,0.0016,Varun Services LLP,Iriaria,"H No. 1207Janta Flatsnear, Gtb Hospital Gtbenclave, North East Delhi, Delhi","H No. 1207Janta Flatsnear, North East Delhi, दिल्ली",India,Significant Spelling / Alias Variation
S1-873914076,S3-56154787,source3,0.0017,Fluent Brothers,Fluent Btres,"Mr-1, Altf Mohan Cooperative - Plot No A 26, Block B, Mohan Cooperative Industrial Estate, Saidabad, New Delhi, New Delhi, South Delhi, Delhi",,India,Candidate Address Missing
S1-486296456,S2-440266189,source2,0.0019,Asset Building Fellowship,Asset Building Services,"1510 Beaumont Street, Sheppard Afb, TX",,US,Candidate Address Missing
S1-407554487,S3-619134355,source3,0.0023,Spine Sangh,Spine Sfh,"609, Sushant Lok Phase 1, Gurugram, Gurgaon, Haryana",,India,Candidate Address Missing
S1-279722704,S3-659312552,source3,0.0041,Luke Meridian LLC,Belomirabrix,"200 River Bend Drive, Unit 208, Georgetown, TX","200C River Bend Dr, # 208, Georgetown, Texas",US,Address Discrepancy / Typo in Building Number
S1-66358218,S3-845831671,source3,0.0055,Marsh & Hicks Inc,Avisyn,"1204 Nottingham Drive, Cary, NC","1204-B Nottingham Dr, Cary, North Carolina",US,Significant Spelling / Alias Variation
S1-224323971,S3-70374966,source3,0.0056,Naperville Realty,Naperville Center,"1732 Chalmette Court, Naperville, IL",,US,Candidate Address Missing
S1-219548536,S3-791592839,source3,0.0065,Dahlen Direct Muniyield,Dahlen Direct Services,"215 Victoria Road, Hartford, CT",,US,Candidate Address Missing
S1-448345019,S3-462678740,source3,0.0065,Urban Construction Private Limited,Urban Private  Limited Center,"Flat No. B1/604, Minar Regency Talao Pali Mumbra, Thane, Maharashtra","Door No 899 Flat No. B1/604, Thane, महाराष्ट्र",India,Significant Spelling / Alias Variation
S1-517800727,S3-46314707,source3,0.0072,Minoo,Mesbteo,"883 Max View Drive, Parker, AZ","#883 Max View Dr, Praker CITY, Arizona",US,Significant Spelling / Alias Variation
S1-677741106,S2-148794360,source2,0.0074,Paul Holdings,Paul,"C/O- Akhilesh Kr Chauhan Patwatoli, Near Naksha Ghar, Hajipur, Vaishali, Bihar",,India,Candidate Address Missing
S1-20723596,S2-445616021,source2,0.0086,Elke Wade Tri-State Diana Inc,ELKE WADE DIANA INC SERVICES,"1309 Nicholson Street, Washington, NC",,US,Candidate Address Missing
S1-108551334,S3-346161986,source3,0.011,Swastik Food Private Limited,Swastik Food Private Enterprises,"Bungalow No-2 1St Floor Main Patel Road West Patel Nagar, New Delhi, West Delhi, Delhi",,India,Candidate Address Missing
