threshold,precision,recall,f05,f1,tp,fp,fn
0.5,0.975121359223301,0.9704106280193237,0.9741755577109604,0.9727602905569007,3214,82,98
0.55,0.9768080561489166,0.9664855072463768,0.9747259439707674,0.9716193656093489,3201,76,111
0.6,0.9791347038969009,0.9634661835748792,0.9759603621238073,0.9712372546035611,3191,68,121
0.65,0.9806153846153847,0.9622584541062802,0.976888180480628,0.9713501981103322,3187,63,125
0.7,0.9832920792079208,0.9595410628019324,0.978448275862069,0.9712713936430318,3178,54,134
0.75,0.9850746268656716,0.9565217391304348,0.9792284866468842,0.9705882352941176,3168,48,144
0.8,0.9871231155778895,0.9489734299516909,0.9792497507477567,0.9676724137931035,3143,41,169
0.85,0.9892063492063492,0.9408212560386473,0.9791352438411262,0.9644073042401733,3116,34,196
0.9,0.9922480620155039,0.927536231884058,0.9785932721712538,0.9588014981273408,3072,24,240
0.95,0.9940357852882704,0.9057971014492754,0.9750390015600625,0.9478672985781991,3000,18,312
