source1_id,candidate_id,candidate_source,match_probability,source1_name,candidate_name,source1_address,candidate_address,country,pattern
S1-981127042,S2-791163463,source2,0.9994,HLN (india) Pvt Ltd,hn (india) pvt ltd,"Second Floor, Marigold Business Park, Sco 35-36, District Shopping Centre, Ranjit Avenue, Amritsar -I, Amritsar, Punjab","SECOND FLOOR, MARIGOLD BUSINESS PARK, SCO 35-36, DISTRICT SHOPPING CENTRE, RANJIT AVENUE, AMRITSAR -I, ਪੰਜਾਬ",India,Common Business Name Collision
S1-185573169,S2-514386982,source2,0.9986,All Investment Private Limited,-- All  Investments,"No.1/1, 2Nd Floor, Nanda Complex. Canara Bank Buildings, 80 Ft Road, K B Temple Street. Dr Rajkumar Road 6Th Block, Bangalore North, Bangalore, Karnataka","05-6-452/6, PLOT NO.739 B, ROAD NO.9, VAIDEHI NAGAR VANASTHALIPURAM, HYDERABAD, Andhra Pradesh",India,"Similar Name, Different Street/Building"
S1-823609361,S3-404165314,source3,0.9973,Chapa Mountain Fuel LLC,Chapa Mountain Fuel North LLC,"2798 K-v Road, VA, Lunenburg County","809 K-V Road, Victoria, Virginia",US,"Similar Name, Different Street/Building"
S1-800528107,S2-390036068,source2,0.9961,Derby & Partners,Derby & Partners Enterprises Corporation,"Vill- Sarfabad, Pradhan Market, Sector-73, Gautam Buddha Nagar, Uttar Pradesh","#41 VILL- SARFABAD, PRADHAN MARKET, SECTOR-73, GAUTAM BUDDHA NAGAR, Uttar Pradesh",India,"Similar Name, Different Street/Building"
S1-406655545,S3-477703457,source3,0.9951,Indian Investment Pvt Ltd,Índianinvestment.Com,"C/O-Shri Changdev Trinbak Salave, 12637/ 12 Pushkraj Residency B Wing Basement, Sangli, Maharashtra","Chalisgaon, At Post 292 Plot No-25, MH, Jalgaon",India,"Similar Name, Different Street/Building"
S1-327146826,S2-703196231,source2,0.9947,Prime Capital,Prime Capital Industries Co,"Modayil Centre Point, 5Th Floor, Door No. 39/2638F Pallimukku, M G Road, Kochi, Ernakulam, Kerala","NO 11 MODAYIL CENTRE POINT, 5TH FLOOR, DOOR NO. 39/2638F PALLIMUKKU, M G ROAD, KOCHI, Kerala",India,"Similar Name, Different Street/Building"
S1-768191150,S3-532323639,source3,0.9934,"Jett Vernal, LLC",Brixxyloflux née Gandara Rockwool Inc,"1230 6th Avenue, Unit Suite 310, Des Moines, IA","1230 6th Avenue, Unit Suite 310, Des Moines, IA",US,Common Business Name Collision
S1-769228954,S2-656988455,source2,0.9933,Wolverton Animal Hospital,Wolverton-Animal Hospital  Corp,"E9511 1390th Avenue, Town Of Sand Creek, WI","#E9516 1390TH AVENUE, TOWN OF SAND CREEK, WI",US,Common Business Name Collision
S1-97581850,S3-67110497,source3,0.9914,Green Exports Private Limited,Green Exports Pvt  Ltd,"B-3, B-71C, Janakpuri, New Delhi, West Delhi, Delhi","A-23, New Delhi, Central Delhi, DL",India,Common Business Name Collision
S1-668150019,S3-870195374,source3,0.9896,AB Prairie Enbridge,AU Enbridge Prairie,"3027 Breeze Drive, UT, Magna City","3036 Breeze Dr, Magna, Utah",US,"Similar Name, Different Street/Building"
S1-47869953,S3-543948730,source3,0.9829,Prestige Servicesprivate Corporation,Corporation Prestige Krishi,"Near Choti Mazjid, Dhabali Vihir, Mangalwari Peth, Umred, Nagpur, Maharashtra","No ##9 Near Choti Mazjid, Dhabali Vihir, Mangalwari Peth, Umred, Nagpur, महाराष्ट्र",India,"Similar Name, Different Street/Building"
S1-853993166,S2-915759743,source2,0.9791,Education Clean Alliance Group,EDUCATION CLEAN ALLIANCE GROUP CO,"89 Meadowbrook Country Club Estate, Ballwin, MO","96 MEADOWBROOK COUNTRY CLUB ESTATE, BALLWIN, MO",US,"Similar Name, Different Street/Building"
S1-93806322,S3-929197921,source3,0.9722,New Media Private Limited,டெக் மார்க்கெட்டிங் எல்எல்பி,"Arabikula Street, Chinnakadai Veethi, No. 4, Tamil Nadu, Tiruchirappalli, Trichy","#4, Tiruchirappalli, TN",India,Common Business Name Collision
S1-786497576,S3-847419039,source3,0.9659,Dong Grupo of Incorporated,Dong Grupo Incorporated (Ltd),"460 2nd Street, Incorporated, ID","Idaho, Incorporated, 469 2st Saint",US,"Similar Name, Different Street/Building"
S1-169108778,S3-521911268,source3,0.9649,Smart Industries Private Limited,Smart Industries Pvt Limited,"Delhi, South Delhi, New Delhi, Omaxe, Square, Plot No.14, Jasola District Center, Unit No. Ff-48A",,India,"Similar Name, Different Street/Building"
